treat,age,educ,black,hispan,married,nodegree,re74,re75,re78,weights
1,37,11,1,0,1,1,0,0,9930.046,1
1,22,9,0,1,0,1,0,0,3595.894,1
1,27,11,1,0,0,1,0,0,7506.146,1
1,22,9,1,0,0,1,0,0,4056.494,1
1,22,16,1,0,0,0,0,0,2164.022,1
1,33,12,0,0,1,0,0,0,12418.07,1
1,19,9,1,0,0,1,0,0,8173.908,1
1,21,13,1,0,0,0,0,0,17094.64,1
1,18,8,1,0,0,1,0,0,0,1
1,27,10,1,0,1,1,0,0,18739.93,1
1,17,7,1,0,0,1,0,0,3023.879,1
1,19,10,1,0,0,1,0,0,3228.503,1
1,23,10,1,0,0,1,0,0,7693.4,1
1,40,12,1,0,0,0,0,0,10804.32,1
1,26,12,1,0,0,0,0,0,10747.35,1
1,23,11,1,0,0,1,0,0,0,1
1,41,14,0,0,0,0,0,0,5149.501,1
1,38,9,0,0,0,1,0,0,6408.95,1
1,24,11,1,0,0,1,0,0,1991.4,1
1,29,11,1,0,1,1,0,0,9642.999,1
1,27,10,0,1,0,1,0,0,11142.87,1
1,25,11,1,0,1,1,0,0,1574.424,1
1,20,12,1,0,0,0,0,0,0,1
1,25,12,1,0,0,0,0,0,3191.753,1
1,42,14,1,0,0,0,0,0,20505.93,1
1,25,5,1,0,0,1,0,0,6181.88,1
1,23,12,1,0,1,0,0,0,5911.551,1
1,46,8,1,0,1,1,0,0,3094.156,1
1,24,10,1,0,0,1,0,0,0,1
1,21,12,1,0,0,0,0,0,1254.582,1
1,19,9,0,0,0,1,0,0,13188.83,1
1,18,8,0,1,1,1,0,0,2787.96,1
1,20,11,1,0,0,1,0,0,3972.54,1
1,25,11,1,0,1,1,0,0,0,1
1,17,8,1,0,0,1,0,0,0,1
1,25,5,1,0,0,1,0,0,12187.41,1
1,31,11,1,0,1,1,0,0,8087.487,1
1,30,11,1,0,1,1,0,0,590.7818,1
1,41,4,1,0,1,1,0,0,7284.986,1
1,22,11,0,0,0,1,0,0,1048.432,1
1,29,8,1,0,0,1,0,0,1923.938,1
1,35,10,1,0,0,1,0,0,4666.236,1
1,28,9,1,0,0,1,0,0,10694.29,1
1,23,7,0,0,0,1,0,0,0,1
1,45,5,1,0,1,1,0,0,8546.715,1
1,29,13,1,0,0,0,0,0,7479.656,1
1,27,9,1,0,0,1,0,0,0,1
1,46,13,1,0,0,0,0,0,647.2046,1
1,18,6,1,0,0,1,0,0,0,1
1,28,15,1,0,0,0,0,0,9598.541,1
1,25,11,0,0,0,1,0,0,18783.35,1
1,21,9,1,0,0,1,0,0,0,1
1,40,11,1,0,0,1,0,0,23005.6,1
1,22,11,1,0,0,1,0,0,6456.697,1
1,38,12,0,0,0,0,0,0,4941.849,1
1,38,11,1,0,0,1,0,0,0,1
1,23,8,0,1,0,1,0,0,3881.284,1
1,21,12,0,0,0,0,0,0,8048.603,1
1,31,11,1,0,1,1,0,0,14509.93,1
1,25,12,0,0,0,0,0,0,5587.503,1
1,18,9,1,0,0,1,0,0,4482.845,1
1,25,10,1,0,0,1,0,0,0,1
1,31,9,0,1,0,1,0,0,26817.6,1
1,24,10,1,0,0,1,0,0,0,1
1,26,10,1,0,0,1,0,0,9265.788,1
1,17,9,1,0,0,1,0,0,1953.268,1
1,26,10,1,0,1,1,2027.999,0,0,1
1,17,9,0,1,0,1,445.1704,74.34345,6210.67,1
1,20,12,1,0,0,0,989.2678,165.2077,0,1
1,18,11,1,0,0,1,858.2543,214.5636,929.8839,1
1,27,12,1,0,1,0,3670.872,334.0493,0,1
1,21,12,0,0,0,0,3670.872,334.0494,12558.02,1
1,27,12,1,0,0,0,2143.413,357.9499,22163.25,1
1,23,12,1,0,0,0,5506.308,501.0741,671.3318,1
1,29,14,1,0,0,0,0,679.6734,17814.98,1
1,19,9,1,0,0,1,0,798.9079,17685.18,1
1,27,13,0,0,1,0,9381.566,853.7225,0,1
1,18,11,0,0,0,1,3678.231,919.5579,4321.705,1
1,27,9,1,0,1,1,0,934.4454,1773.423,1
1,22,12,1,0,0,0,5605.852,936.1773,0,1
1,23,10,1,0,1,1,0,936.4386,11233.26,1
1,23,12,0,1,0,0,9385.74,1117.439,559.4432,1
1,26,11,1,0,1,1,0,1392.853,1460.36,1
1,20,11,1,0,0,1,16318.62,1484.994,6943.342,1
1,24,11,1,0,1,1,824.3886,1666.113,4032.708,1
1,23,8,0,0,1,1,0,1713.15,4232.309,1
1,29,12,1,0,0,0,10881.94,1817.284,0,1
1,26,11,0,0,0,1,0,2226.266,13385.86,1
1,24,9,1,0,0,1,9154.7,2288.675,4849.559,1
1,25,12,1,0,0,0,14426.79,2409.274,0,1
1,24,10,1,0,0,1,4250.402,2421.947,1660.508,1
1,46,8,1,0,0,1,3165.658,2594.723,0,1
1,31,12,0,0,0,0,0,2611.218,2484.549,1
1,19,11,1,0,0,1,2305.026,2615.276,4146.603,1
1,27,11,1,0,0,1,2206.94,2666.274,0,1
1,26,11,1,0,1,1,0,2754.646,26372.28,1
1,20,10,1,0,0,1,5005.731,2777.355,5615.189,1
1,28,10,1,0,0,1,0,2836.506,3196.571,1
1,24,12,1,0,0,0,13765.75,2842.764,6167.681,1
1,23,12,1,0,0,0,6269.341,3039.96,8484.239,1
1,42,9,1,0,1,1,0,3058.531,1294.409,1
1,25,13,1,0,0,0,12362.93,3090.732,0,1
1,21,12,1,0,0,0,6473.683,3332.409,9371.037,1
1,27,10,1,0,0,1,1001.146,3550.075,0,1
1,22,9,1,0,0,1,2192.877,3836.986,3462.564,1
1,24,10,1,0,1,1,11703.2,4078.152,0,1
1,29,10,1,0,0,1,0,4398.95,0,1
1,29,12,1,0,0,0,9748.387,4878.937,10976.51,1
1,19,10,0,0,0,1,0,5324.109,13829.62,1
1,19,11,0,1,1,1,5424.485,5463.803,6788.463,1
1,31,9,1,0,0,1,10717.03,5517.841,9558.501,1
1,21,9,1,0,0,1,6416.47,5749.331,743.6666,1
1,17,10,1,0,0,1,1291.468,5793.852,5522.788,1
1,26,12,1,0,1,0,8408.762,5794.831,1424.944,1
1,20,9,0,1,0,1,12260.78,5875.049,1358.643,1
1,19,10,1,0,0,1,4121.949,6056.754,0,1
1,26,10,1,0,0,1,25929.68,6788.958,672.8773,1
1,28,11,1,0,0,1,1929.029,6871.856,0,1
1,22,12,0,1,1,0,492.2305,7055.702,10092.83,1
1,33,11,1,0,0,1,0,7867.916,6281.433,1
1,22,12,0,0,0,0,6759.994,8455.504,12590.71,1
1,29,10,0,1,0,1,0,8853.674,5112.014,1
1,25,14,1,0,1,0,35040.07,11536.57,36646.95,1
1,35,9,1,0,1,1,13602.43,13830.64,12803.97,1
1,35,8,1,0,1,1,13732.07,17976.15,3786.628,1
0,25,9,1,0,1,1,14829.69,13776.53,0,1
0,37,9,1,0,1,1,13685.48,12756.05,17833.2,1
0,20,12,1,0,0,0,7392.314,12396.19,17765.23,1
0,41,5,0,0,1,1,10785.76,11991.58,19451.31,1
0,22,14,1,0,1,0,748.4399,11105.37,18208.55,1
0,42,0,0,1,1,1,2797.833,10929.92,9922.934,1
0,25,9,0,1,0,1,5460.477,10589.76,7539.361,1
0,27,10,0,1,1,1,15711.36,9098.419,17023.41,1
0,27,6,0,1,1,1,7831.189,9071.565,5661.171,1
0,36,12,0,0,1,0,25535.12,8695.597,21905.82,1
0,47,8,1,0,1,1,9275.169,8543.419,0,1
0,27,7,0,0,1,1,3064.293,8461.065,11149.45,1
0,36,9,1,0,1,1,13256.4,8457.484,0,1
0,49,8,0,0,1,1,6459.703,7431.629,7503.896,1
0,22,12,1,0,1,0,9729.719,7372.548,2231.367,1
0,25,12,0,0,1,0,11516.57,7263.339,19588.74,1
0,20,12,1,0,1,0,9555.344,7055.661,0,1
0,25,12,1,0,1,0,295.8493,6942.871,461.0507,1
0,20,12,0,0,1,0,3558.029,6797.855,6680.802,1
0,36,12,1,0,1,0,11040.47,6221.371,7215.739,1
0,30,17,1,0,0,0,17827.37,5546.419,14421.13,1
0,26,12,0,1,0,0,7968.338,5109.581,4181.966,1
0,54,12,0,0,0,0,7165.039,5012.903,0,1
0,16,9,0,0,0,1,2539.21,4579.645,0,1
0,47,10,1,0,1,1,13311.26,4397.032,19330.14,1
0,47,10,1,0,0,1,21918.32,4323.629,19438.02,1
0,24,12,1,0,1,0,8573.752,4293.194,0,1
0,20,12,1,0,1,0,2648.929,4273.5,0,1
0,28,12,1,0,0,0,16722.34,4253.806,7314.747,1
0,47,11,0,0,0,1,8060.424,4232.323,3358.873,1
0,50,0,0,0,1,1,10162.72,4218,220.1813,1
0,20,12,1,0,0,0,5099.971,3842.032,12718.79,1
0,20,11,1,0,0,1,0,3480.387,5495.665,1
0,27,4,0,1,1,1,626.9654,3410.565,3367.739,1
0,18,11,0,0,0,1,0,3226.161,15814.63,1
0,19,12,0,0,0,0,99.92261,3172.452,15436.33,1
0,19,11,1,0,0,1,5607.422,3054.29,94.5745,1
0,19,9,1,0,0,1,1079.556,2873.468,14344.29,1
0,17,7,1,0,0,1,1054.086,2286.242,1613.677,1
0,18,10,1,0,0,1,311.5234,2284.452,8154.095,1
0,28,12,1,0,0,0,6285.328,2255.806,7310.313,1
0,21,14,0,0,0,0,80.32994,1890.581,6389.69,1
0,18,9,1,0,0,1,1183.397,1822.548,803.8833,1
0,18,11,1,0,0,1,2068.986,1623.823,20243.38,1
0,18,10,0,0,0,1,0,1491.339,237.914,1
0,18,11,1,0,0,1,1191.234,1478.806,3683.972,1
0,26,12,1,0,0,0,0,1448.371,0,1
0,18,12,1,0,0,0,1579.169,1408.984,3057.416,1
0,18,11,1,0,0,1,0,1367.806,33.98771,1
0,31,6,0,0,0,1,2666.562,1321.258,0,1
0,32,16,1,0,0,0,17135.75,1031.226,0,1
0,17,9,1,0,0,1,0,981.0968,8900.347,1
0,32,15,0,0,0,0,489.8167,968.5645,7684.178,1
0,39,10,1,0,0,1,844.444,889.7903,701.9201,1
0,17,5,1,0,0,1,96.00407,868.3065,0,1
0,18,11,1,0,0,1,587.78,841.4516,7933.914,1
0,19,13,1,0,0,0,1714.358,785.9516,9067.33,1
0,52,8,1,0,1,1,5454.599,666,0,1
0,21,9,1,0,0,1,1030.574,470.8548,1223.558,1
0,17,8,1,0,0,1,0,451.1613,0,1
0,24,12,1,0,1,0,4232.016,320.4677,1273.8,1
0,17,9,1,0,0,1,0,297.1935,54.67588,1
0,16,9,1,0,0,1,0,277.5,3983.951,1
0,23,13,1,0,0,0,172.4155,272.129,582.2243,1
0,19,10,1,0,0,1,1056.045,205.8871,0,1
0,16,7,1,0,0,1,133.2301,205.8871,6145.865,1
0,18,11,0,0,0,1,1481.206,57.29032,1421.573,1
0,16,6,1,0,0,1,0,44.75806,0,1
0,31,12,1,0,1,0,0,42.96774,11023.84,1
0,49,14,0,0,1,0,25862.32,0,25564.67,1
0,22,8,1,0,1,1,16961.37,0,959.0445,1
0,22,11,1,0,1,1,9049.853,0,9088.018,1
0,19,12,0,0,0,0,5797.47,0,2160.436,1
0,18,10,0,0,0,1,3360.143,0,0,1
0,45,8,1,0,0,1,3299.405,0,31.03226,1
0,21,15,0,0,0,0,2629.336,0,1717.118,1
0,22,16,1,0,0,0,2564.68,0,116.7404,1
0,24,12,1,0,1,0,2355.039,0,2448.593,1
0,19,6,1,0,0,1,1955.348,0,14998.92,1
0,19,12,1,0,0,0,1681.051,0,0,1
0,20,13,0,0,0,0,1657.54,0,913.235,1
0,19,12,1,0,0,0,1655.58,0,0,1
0,26,9,0,1,0,1,1563.495,0,2862.356,1
0,23,12,0,0,0,0,1504.717,0,0,1
0,17,9,1,0,0,1,1222.582,0,422.6298,1
0,24,12,1,0,0,0,566.2281,0,2284.565,1
0,50,5,1,0,1,1,411.446,0,9166.338,1
0,19,9,1,0,0,1,384.0163,0,0,1
0,36,1,1,0,0,1,348.7495,0,0,1
0,54,12,0,0,1,0,0,0,0,1
0,18,10,1,0,0,1,0,0,2281.61,1
0,40,11,1,0,1,1,0,0,0,1
0,16,9,1,0,0,1,0,0,2158.959,1
0,20,9,1,0,0,1,0,0,6083.8,1
0,20,12,1,0,0,0,0,0,0,1
0,18,11,1,0,0,1,0,0,0,1
0,46,11,1,0,1,1,0,0,2820.98,1
0,17,8,1,0,0,1,0,0,12760.17,1
0,34,12,1,0,1,0,0,0,18716.88,1
0,21,13,1,0,0,0,0,0,17941.08,1
0,29,11,0,0,1,1,0,0,0,1
0,31,4,0,1,0,1,0,0,1161.493,1
0,20,12,1,0,0,0,0,0,11594.24,1
0,55,4,1,0,0,1,0,0,0,1
0,19,11,1,0,0,1,0,0,16485.52,1
0,18,11,1,0,0,1,0,0,7146.286,1
0,17,10,1,0,0,1,0,0,0,1
0,17,8,1,0,0,1,0,0,4520.366,1
0,27,14,1,0,0,0,0,0,10122.43,1
0,37,8,1,0,0,1,0,0,648.722,1
0,17,10,1,0,0,1,0,0,1053.619,1
0,55,7,0,0,0,1,0,0,0,1
0,16,10,1,0,0,1,0,0,1730.418,1
0,46,11,1,0,1,1,0,0,0,1
0,42,16,0,0,0,0,0,0,23764.8,1
0,18,10,1,0,0,1,0,0,5306.516,1
0,53,12,1,0,0,0,0,0,0,1
0,34,12,1,0,0,0,0,0,0,1
0,16,8,0,1,0,1,0,0,12242.96,1
0,51,4,1,0,0,1,0,0,0,1
0,39,2,1,0,1,1,0,0,964.9555,1
0,55,8,0,0,1,1,0,0,0,1
0,27,10,1,0,0,1,0,0,7543.794,1
0,21,18,0,0,0,0,0,0,0,1
0,32,5,1,0,1,1,0,0,187.6713,1