Total,esl,nativeAmerican,black,latino,asian,white,female,attendance,povertyRate,temporaryHousing,teachers
261,52,1.2,29.9,60.2,6.1,2.7,45.2,90.4,89.4,6,23
338,37,0.9,21.3,58.9,12.4,6.5,52.1,91.5,61.5,0,29
610,181,0.3,7.5,65.2,24.8,2.1,52,93.6,92.5,10,48
420,38,0.2,21,71.7,5,2.1,50,88.8,76.8,9,35
202,7,0,19.3,64.8,8.9,6.9,41.1,90.5,63.9,1,21
478,23,1.5,14.2,55.2,14.4,14.6,52.5,93.5,58.2,1,38
367,37,1.1,22.1,56.7,19.1,1.1,54,91.5,77.8,3,32
242,34,0.8,31,59.1,8.7,0.4,47.1,91.1,78.1,6,25
450,58,0.4,17.6,75.6,4.2,2.2,44.9,91,79.9,17,39
450,39,0.2,19.6,73.6,4.2,2.4,50.4,91.1,81.4,2,44
573,0,0.5,5.6,3.8,82.9,7.2,47,99.1,72.2,0,32
414,51,0,31.9,65,2.4,0.7,48.1,89,89.6,9,38
211,13,1.9,20.8,59.7,10.9,6.6,39.3,89.2,62.8,3,16
163,12,4.3,20.2,31.9,8.6,35,45.4,93.1,37.3,0,16
279,15,0,29.4,61.6,6.1,2.9,45.9,90.6,73.8,5,22
279,6,0.7,17.2,63.8,15.4,2.9,51.2,94,86.6,2,24
258,18,3.9,11.6,31.8,13.2,39.5,51.9,92.2,44.1,1,21
274,2,1.8,21.9,28.1,16.4,31.8,45.6,92.7,36.7,1,21
331,11,1.2,12.4,39.6,13.3,33.5,42.6,93.4,44.3,2,23
588,42,0.3,19.6,53.2,22.4,4.4,49,84.8,71.5,8,39
543,0,0,17.5,17.1,10.7,54.7,68.7,93.8,15.9,0,38
364,20,0.6,14.3,44.5,25,15.7,48.1,95.5,60.3,1,25
567,201,0.4,11.1,16.2,70.6,1.8,45.7,95.4,81.6,9,43
726,278,1.1,5.4,8.4,83.6,1.5,46.6,96.4,89.6,5,59
585,34,1.4,12.3,17.3,8.9,60.2,44.8,94.1,6.6,0,41
798,22,2.3,5,9.4,8.2,75.2,47.6,94.3,2.4,3,50
511,26,1.8,20,37.6,12.1,28.6,50.5,94.5,61.3,5,46
336,47,1.5,25.9,50.3,14.3,8,49.1,94.2,83.5,0,29
546,17,0.7,8.6,13.7,12.6,64.3,48.7,95.1,9.7,2,41
742,23,1.9,4.8,10.8,10.1,72.4,48.9,95.5,10.6,0,52
736,158,0.1,2,5,92.3,0.5,48.8,97.6,88.1,1,53
334,49,1.5,12.6,57.5,15.9,12.6,47.9,94.1,65.6,2,24
460,63,1.3,8.3,18.3,17,55.2,48.9,95,21.3,1,31
356,0,0.3,4.2,14.3,15.7,65.4,52.8,95.7,8,2,18
512,29,1.6,6.8,11.7,16.6,63.3,49.6,94.7,10.6,0,35
1040,36,0.4,13.4,23,34.8,28.5,48.2,94.8,38.7,5,67
572,59,0.9,15.4,65.2,7.5,11,49.6,91.7,64.9,10,52
365,1,0,8,11.2,14.5,66.3,57.5,96.3,16.8,1,22
794,49,0.6,11.8,21.7,20.9,45,53.6,95,20.2,1,49
997,291,0.1,3.7,3.7,90.4,2.1,49,97.1,60.8,6,66
723,100,0,16,29.5,43.8,10.6,48.1,95.2,68.6,1,64
1074,238,0,1.7,4.9,90,3.4,47.9,97.7,65.7,2,64
817,150,0,7.1,12.8,78.5,1.6,45.2,96.7,87.4,9,63
181,0,1.7,13.8,12.2,9.9,62.4,52.5,94.8,10.5,0,12
731,37,2.2,5.6,17.6,10.3,64.3,47.5,94.3,21.5,4,51
1255,47,0.1,13.9,24.6,32.1,29.2,47.4,94.5,40.8,3,79
584,51,2,7.2,13.9,18.7,58.2,48.1,95.2,16,0,48
547,39,1.1,24,48.8,10.2,15.9,51.6,93.1,41.5,27,45
347,0,0.3,16.1,26.2,13,44.4,48.1,94.4,26,3,25
454,46,0.4,38.3,23.8,21.6,15.9,46.7,93.2,42.3,2,35
285,11,1.4,37.2,46.7,3.9,10.9,46.7,91.3,39.6,0,21
755,15,0.5,5.8,7.3,15.9,70.5,48.6,95.2,5.2,10,48
385,1,0.3,9.1,13.8,29.9,47,51.7,97,19.4,0,19
244,1,1.2,15.6,23.4,10.2,49.6,61.9,95.4,25,3,12
405,22,0.2,49.6,44.4,2,3.7,58.8,89.5,62.9,7,30
294,0,0,12.2,15,36,36.7,52,96.6,30.3,1,16
664,23,1.2,3.3,11.4,11.4,72.6,48,95.7,9.4,4,45
343,23,0.6,25.7,57.1,6.1,10.5,47.8,82.1,74.6,0,25
376,22,0.3,36.4,56.1,4,3.2,70,80.1,74.5,1,30
410,4,0.2,26.1,35.1,31.2,7.3,50,91.9,74,0,26
389,42,0,24.4,64.8,5.4,5.4,28.8,85.1,68.8,1,23
320,42,0.3,32.5,62.2,3.1,1.9,46.6,81.4,71.4,1,30
253,4,0.4,43.9,44.7,3.6,7.5,55.7,81.1,61.9,4,20
241,8,0,33.6,54.4,5,7,60.6,85.9,64.4,1,17
580,6,0.9,4.8,8.4,46,39.8,47.1,97.6,12.6,1,37
292,16,0.7,38.7,56.8,2.7,1,100,83.2,60.3,4,15
199,0,0.5,21.6,44.7,5,28.1,54.8,89.1,76.3,1,39
1460,60,0.3,21.6,48.6,16.8,12.7,52.2,88.8,47.4,10,77
425,26,0.7,32.5,64.9,0.9,0.9,54.1,80.2,71.8,3,30
416,0,0,6.5,11.1,60.8,21.6,62,97.3,46.7,2,24
518,4,0.8,9.8,12.9,28,48.5,51.2,95.2,13.6,0,28
422,10,0.2,19.9,39.8,19.9,20.1,51.2,92.1,37.4,1,28
484,0,0.4,8.5,12.4,21.1,57.6,62.8,95.5,27.1,0,33
548,3,0.4,9.1,24.8,30.1,35.6,63.7,95.7,39.1,0,38
450,38,0,26.7,68.7,2.4,2.2,53.3,78.4,64.4,1,27
1521,58,0.5,24.8,46.9,21.9,6,69,90.3,57.1,8,85
693,26,0,28.3,55.8,10.5,5.3,50.1,83.5,50.2,11,39
378,29,0,45.2,48.7,3.2,2.9,49.5,76.5,74,3,28
397,9,1.3,26.7,60,7,5,65.5,94.6,60,0,27
1727,221,0.5,27.2,60.3,9.5,2.5,50,77.2,64.2,18,115
161,5,0,47.8,23.6,13,15.5,61.5,95.3,40.8,0,8
415,23,1.9,34.5,54.7,2.6,6.3,54,84.5,66.9,1,38
323,232,0,14.6,45.2,24.5,15.8,50.8,92.5,84.8,0,22
2411,188,0.5,32.8,61.7,3.1,1.9,55.8,70.7,74,25,143
3125,0,0.1,2,3,64.8,30.1,42.8,97.1,16.8,0,150
788,33,0.8,23.4,37.2,28.7,10,44.5,88.4,59,2,47
202,17,0.5,41.1,55.4,2,1,48,76.8,64.4,2,15
459,5,0,36.6,41,1.5,20.9,74.7,92,39.4,1,25
2774,15,0.1,30.4,49.5,16.8,3.2,49.8,82.3,59.1,17,157
700,45,0.4,26.3,62.6,5.6,5.1,59.7,82,70.8,1,44
204,5,0.5,49,43.1,2.4,4.9,74,91.4,53.2,0,16
469,0,0,0.4,99.6,0,0,49.7,86.5,83.5,2,30
418,28,0.7,31.6,60.5,3.8,3.4,59.8,87.1,69.8,2,32
292,0,0,4.4,5.1,88,2.4,48,94.3,78.4,0,25
619,17,0.5,36,56.5,3.7,3.2,67.7,87.3,74.7,7,46
1653,49,0.5,34.5,55.8,4.1,5.1,91.1,88.8,67.7,9,94
947,66,0.6,36.3,59.6,2.4,1.1,40.8,75.8,72.8,7,75
2129,123,0.2,23.2,72.8,3.2,0.7,50,75.2,68.5,16,129
1839,71,0.1,36.9,59,1.6,2.4,49.4,69.9,75,26,128
1370,34,0.3,26,58.3,6.2,9.2,47,90.1,43.7,0,78
207,15,0.5,32.4,58,6.3,2.9,49.8,74.2,75.1,1,14
213,8,1.4,29.6,44.1,8,16.9,54.9,93.5,50.7,0,16
510,27,0.8,11.2,25.1,8.2,54.7,51.4,95.1,30,2,27
403,21,0.5,58.3,36.5,1.2,3.5,40.7,86.9,60.4,11,42
877,81,0.1,20.3,28.2,8.9,42.5,46.2,92.7,26.2,9,65
796,53,0.6,30.4,49.4,6.9,12.7,50.4,93,56.1,3,58
414,45,1.2,80.2,17.2,0.2,1.2,46.1,91.1,82.2,7,37
422,27,0.2,31.8,58.1,2.8,7.1,49.3,92.4,71.2,8,33
899,18,0.2,16.8,21.2,6.9,54.8,47.7,94.3,16,0,55
535,85,0.2,31.2,60.8,2.8,5,49.2,91.2,75.8,8,45
476,40,0.4,76.9,20.2,1.5,1,51.5,89.1,76.3,13,41
639,33,0.3,25.5,48,3.1,23,48.7,93.3,49.9,5,54
590,27,0.3,17.5,73,3.2,5.9,47,92.2,74.8,16,50
598,58,0.2,17.9,28.4,6.7,46.8,51,93.6,29.3,5,42
574,54,0.4,75.1,22.1,0.9,1.6,52.8,93.4,74,5,51
498,36,0.6,42.8,45.6,4,7,50.4,91,64.1,4,42
721,25,0.6,7.8,10.5,14.7,66.4,48.7,94.3,9.9,1,50
223,17,0,70.8,27.4,1.4,0.4,52.9,92.2,82,3,26
364,70,0.3,80.8,16.2,1.1,1.6,45,90.5,70.9,21,36
288,12,1,83.3,14.6,0,1,53.1,92.2,82.7,11,23
204,0,0.5,24.5,13.2,9.3,52.4,52,96.9,40.6,0,15
332,8,0.3,25,32.8,11.8,30.1,51.2,96,29.8,0,21
220,24,0.4,41.8,53.2,1.4,3.2,48.2,88.9,62.6,2,12
194,10,0,28.9,58.8,3.1,9.3,60.3,94.1,67.7,0,18
170,11,0.6,44.7,50,0.6,4.1,45.3,89.2,70.7,1,18
236,12,1.7,46.2,48.7,1.7,1.7,55.1,93.9,69.6,3,19
326,49,0.6,40.2,53.7,2.2,3.4,42,81.8,66.8,7,20
374,24,1.3,38.2,53.7,2.1,4.6,46.5,78.3,62.5,2,19
698,16,0.1,24.4,22.8,7.2,45.6,53.7,94,17.5,1,56
517,0,0,9.1,10.6,20.1,60.2,51.1,96.2,6.4,0,22
2448,284,0.4,29.2,67.4,1.7,1.3,52.7,73,67.4,28,153
1085,5,0.3,17,22.1,6.1,54.6,58.8,94.9,17.1,2,56
2572,10,0.2,16.6,19.2,19,45,74.8,95.7,19,3,154
485,82,0.4,44.5,50.7,1.9,2.5,60.4,85.2,68.7,2,41
590,61,0.3,34.6,58.3,4.2,2.5,34.4,82.1,65.8,2,46
440,13,0.9,23,35.4,27.7,13,53,96.1,55.6,1,28
295,0,0.3,26.1,47.8,5.8,20,48.5,95.6,37.1,0,20
462,78,0.6,34.2,61.5,2.2,1.5,52,91.2,90,6,40
459,0,0.4,61,30.3,5.7,2.6,61,94.8,48.5,0,24
149,7,0,62.4,37.6,0,0,51,90.8,60.2,9,15
378,36,0.3,28,65.1,3.2,3.4,51.6,89.7,77.6,8,40
441,14,1.6,38.3,59.4,0.7,0,45.6,85.3,96.2,7,48
505,58,0.6,40,56.4,1.8,1.2,47.7,89.1,85.2,7,58
706,105,1.1,23,69.7,4.7,1.6,49.9,92.5,82.6,16,56
426,37,0.5,33.6,55.6,8.2,2.1,49.3,93.1,97.3,7,34
671,55,0.4,27,70.8,0.3,1.5,51.6,90,97.4,25,49
529,48,1.9,32.5,61.6,2.3,1.7,48.4,91.1,85.5,23,52
354,46,0.3,30.2,66.4,1.4,1.7,45.8,91.3,91.8,8,36
779,118,0.4,32.7,64.3,1.7,0.9,49.4,91.7,87.3,6,55
408,50,2.2,37.8,57.1,1,2,43.9,88.5,75.1,18,37
483,87,0,30.2,65.4,3.1,1.2,48.9,91.7,96.4,12,57
388,30,0,16,82.2,1,0.8,46.9,93.8,97.7,8,41
641,32,0.2,34.8,60.7,2.5,1.9,50.2,92.1,78.8,6,48
435,0,0.2,8.5,90.6,0.7,0,52.4,92.9,97.6,0,31
260,31,0.4,32.3,65,2.3,0,43.8,92.2,88,4,27
266,0,0,31.2,44.4,5.6,18.8,54.9,93.8,48.7,0,17
1569,46,0.5,20,58.2,18.6,2.7,49,94.2,62.2,1,81
189,4,0,51.8,27,2.6,18.5,50.3,91.8,41,0,15
311,29,0.3,36.3,57.2,3.2,2.9,49.2,89.5,73.7,4,22
333,21,0.3,30.6,66.1,0.9,2.1,50.2,83.9,74.4,2,25
196,0,0,56.1,41.3,1,1.5,58.2,77.9,65.7,1,15
369,45,0.3,23,74.6,1.6,0.6,49.2,91.8,68.5,2,29
189,0,1.6,54,32.8,2.1,9.5,46.6,94.1,61.1,7,20
388,40,0.8,58.2,38.9,0.8,1.3,47.2,91.7,73.1,23,54
806,73,0.1,60.3,38.7,0.1,0.7,47.8,90.2,97.9,16,63
323,38,0.3,71.8,24.8,3.1,0,48.6,91.2,90,9,38
589,103,0.3,65.7,32.8,0.3,0.8,53.5,90.2,76.6,12,50
404,50,0.2,62.4,33.4,3,1,45.5,91.2,80.4,9,38
501,42,0.6,52.5,45.3,1.4,0.2,49.5,90.9,72.2,6,43
345,26,0,75.6,22.3,0.9,1.2,47,90.6,80.9,13,32
471,55,0,72.8,24.6,2.1,0.4,51.4,91.2,85.6,12,43
848,250,0.1,14.7,82.2,1.2,1.8,47.2,92.3,94.4,21,73
284,23,0.7,58.8,37.3,1.1,2.1,38.4,86.5,70.9,8,44
389,36,0.5,79.7,16.7,1.8,1.3,52.2,91.1,75.3,9,30
295,42,0.7,76.6,21.7,0,1,46.4,90.1,76.6,11,33
733,63,0.1,43,54.6,1.4,1,48.4,89.1,79.1,21,76
556,35,0.4,71.4,25.7,1.1,1.4,45.1,89,70.5,8,52
683,46,0.3,66.5,31.2,0.3,1.8,47.7,91,68,25,65
334,14,0.6,54.5,43.4,0.6,0.9,60.8,78.2,64.6,3,18
193,11,0.5,60.1,38.3,0.5,0.5,37.3,93.4,80.5,18,20
291,24,0.3,38.8,59.8,0.3,0.7,59.1,94.5,72.5,1,21
414,28,0,33.6,62.3,1,3.1,48.6,87.3,62.7,1,28
195,5,0,76.9,20,1,2,53.3,90.7,62.7,2,15
221,7,0.4,74.7,22.6,1.4,0.9,48,87.5,72.7,9,17
94,0,1.1,11.7,52.1,10.6,24.5,47.9,96.6,60,0,6
148,0,0.7,57.4,41.2,0.7,0,81.8,82.7,74.1,2,11
544,63,0.4,50.6,48.4,0.4,0.4,47.6,78.7,61,2,40
647,151,0.8,9,89,0,1.2,46.8,91.1,91.3,12,57
854,195,0,6.1,93.3,0,0.6,48.4,93.8,86.7,1,76
612,107,0.2,4.4,94.3,0.6,0.5,47.4,92.7,89.6,3,53
438,19,0.2,0.7,97.5,0.9,0.7,51.6,92.7,87.1,0,36
996,153,0,16.6,81.5,0.5,1.4,46.6,92,83.1,21,83
577,149,0,3.5,93.4,0.7,2.4,46.6,93.4,85.3,2,59
922,74,0,3,95.7,0.8,0.5,49,94,82.3,6,89
618,133,0,1.6,97.6,0.3,0.5,47.7,93.2,100,8,51
868,155,0,2.5,95.8,0.2,1.4,49.8,92.4,78.1,3,67
817,147,0.1,4.5,93.4,1.1,0.9,48,93.1,84.2,20,74
911,198,0,1.1,97.6,0.8,0.6,49.6,92.2,92.3,9,77
859,133,0,1.8,97.1,0.2,0.9,43.7,90.3,84.4,14,75
970,180,0,1.4,97.7,0.2,0.6,50.1,92.8,74.9,7,86
1004,191,0.5,19.1,79,0.3,1.1,52.1,92,89.4,17,79
821,213,0,2.8,92.2,1.8,3.2,47.9,92.9,74.1,5,66
790,101,0,1.7,52.8,6.6,38.9,51.1,95,61.1,8,59
1114,389,0,0.3,99.2,0.1,0.4,52.2,93.9,93.4,13,84
468,116,0,6.4,92.3,0.4,0.8,48.1,93.5,93.5,2,46
377,0,0,2.4,97.4,0,0.3,51.2,93.4,91.4,1,31
530,107,0,3.8,95.1,0,1.1,45.3,88.8,67.8,16,53
428,6,0.2,4.7,84.4,6.1,4.7,58.2,96.5,62,0,25
472,129,0,4,89,1.3,5.7,44.9,93.7,81.5,1,40
241,41,0,5,93.4,0.4,1.2,52.7,94.8,83.9,3,20
398,0,0,3,85.2,2.5,9.3,52.8,94.3,70.2,3,33
277,55,0.7,5.8,68.6,6.1,18.8,48.7,92.6,44.1,0,22
472,61,0.2,8.5,90,0.4,0.8,45.3,92.9,87.6,8,42
352,45,0.3,16.2,82.4,0.8,0.3,46.3,90.9,80.7,1,31
511,118,0,4.5,94.9,0,0.6,44,90.3,61.4,3,45
395,47,0.8,9.9,88.1,0.5,0.8,46.6,96,77.1,7,34
475,80,0,5.9,92,0.6,1.5,45.5,92.5,92.7,3,44
464,177,0,18.8,80.4,0.2,0.6,42.2,89.7,95.7,7,40
567,59,0.4,12,86.8,0.5,0.4,40.9,91.6,94.8,38,44
268,68,0,3.7,95.2,0,1.1,49.6,93.4,81.9,5,18
235,57,0.4,1.3,98.3,0,0,46,93.8,87,4,20
179,0,0,0,100,0,0,47.5,95.5,83.6,3,14
232,37,0,38.4,52.2,1.7,7.8,56.9,93.2,60,5,15
688,1,0.4,6,92.2,0.6,0.9,42.3,88.1,79.1,2,46
662,190,0.2,5.3,94,0.6,0,42.3,83.4,90,3,43
660,156,0.2,4.8,93.5,0.6,0.9,51.2,88.2,84,2,43
671,45,0.3,8.2,89.9,0.6,1,49.6,84.8,68.2,0,49
268,43,0,3.4,96.6,0,0,66.4,92.8,86.4,1,20
1496,33,0.3,32.5,63.4,3.2,0.5,53,88.7,64.2,4,91
419,0,0,0,100,0,0,53.5,89.6,86.2,14,27
471,0,0.2,17,33.3,26.5,22.9,38.8,94.3,13.2,1,38
659,57,0.6,20.6,78,0.3,0.5,54.6,91.4,98.9,32,47
581,32,0.7,28.6,69.9,0.3,0.5,52.5,91.6,89.2,15,50
525,34,0,33.3,65.5,0.4,0.8,47.4,91.2,80.4,12,43
488,39,0,10,89.1,0.2,0.6,50.6,90.9,92.5,7,43
738,74,0.3,30.4,68,0.8,0.5,53.5,90.5,89.3,13,62
552,35,0.4,17.8,81,0.7,0.2,45.6,92.1,92.6,13,51
813,76,0,30,66.5,2.5,1,52.6,91.3,81.5,12,71
491,65,0.4,26.9,71.9,0.6,0.2,50.9,90.9,93.6,19,45
660,52,0.2,30.2,69.2,0,0.4,48.5,91.7,92.9,42,63
504,60,0.8,31.6,67.1,0.2,0.4,43.2,89.7,92.1,22,47
282,18,0,28.4,71.3,0,0.4,46.8,87.6,88.2,20,29
501,86,0.4,35.5,63.3,0.2,0.6,45.1,92.1,99.6,14,57
581,78,0.5,31.7,67.1,0.5,0.2,48.5,90.7,83,19,56
496,34,0.2,23.8,74.8,0.2,1,48.6,91.9,82.9,8,60
960,38,0.1,24.6,74.1,0.9,0.3,55.2,88.7,83.5,22,83
393,98,0.5,20.9,77.9,0.5,0.2,54.2,93.2,93.3,11,33
430,23,0,34,65.8,0.2,0,48.4,85.4,84.3,7,44
470,28,0.4,24.5,74.7,0.4,0,48.9,91.3,87.2,8,36
342,26,0.6,27.2,70.5,0.9,0.9,46.2,89.8,84.9,4,29
550,63,1.1,22,75.4,0.6,0.9,47.1,89.9,73.4,8,51
278,31,0,38.5,61.2,0,0.4,47.5,87.5,96.1,2,22
299,25,0,22.7,76.9,0,0.3,53.2,88.6,92.5,2,21
273,18,0.4,33.7,65.2,0.4,0.4,48.4,89.1,81.4,6,21
360,28,0.8,35.8,61.9,0.3,1.1,57.8,80.9,73.9,1,28
332,29,0,30.3,69.4,0.3,0,48.2,83.1,80.1,3,25
481,41,0.4,22.2,73.6,2.7,1,55.9,86.9,75.7,3,36
334,17,0.3,38,59.6,0.9,1.2,41,79.7,81.4,6,25
326,9,0.3,30.7,68.1,0.6,0.3,17.2,86.5,70.7,1,19
1189,88,0.2,33.8,63.2,2.3,0.4,12.4,75.8,78.1,4,93
1488,142,1.1,28.3,68.3,1.4,0.9,23.9,75.8,85,11,96
624,43,0,37.5,59.8,1.6,1.1,72.4,83.6,73.6,6,38
528,43,1,7,54.6,3.6,33.9,43.2,93.3,52.4,2,38
651,95,0.8,16.9,62.5,18.1,1.7,47.6,94.3,78.6,11,47
959,94,0.5,25,74,0,0.4,49.6,88.3,86.3,52,89
723,37,0.4,15.5,83,0.4,0.7,49.1,91.2,89.8,9,65
583,74,0.3,20.8,74.3,2.6,2.1,48.5,92.1,70.6,8,42
1567,72,0.4,5.6,48.8,5.2,40,50.6,92.9,53.7,5,98
904,64,0.3,27.2,61.1,4.3,7.1,48.1,90.9,74,9,79
703,86,1.1,26.5,70.1,0.7,1.6,45.2,89.9,91.2,18,64
418,26,0.7,50.2,47.6,0.2,1.2,46.2,91.1,75.5,6,43
769,64,0.8,43.3,55.1,0.5,0.3,51.4,92,75.1,44,63
445,0,0.4,21.1,56.2,8.5,13.7,47.2,94.9,63.8,1,29
535,30,0.6,47.8,50.3,0.8,0.6,50.5,90.9,74.5,25,51
908,167,0,12,57,28.5,2.4,49,93,75.4,3,67
565,110,0.2,35,63.9,0.2,0.7,50.3,88,86.7,54,49
757,51,0,17.7,59.2,21.4,1.7,48.5,91.4,85.2,6,58
671,66,0.2,29.7,69.4,0.3,0.4,52,90.7,96.5,11,51
871,29,0.6,38.9,57.2,3,0.3,49.7,89.9,64.7,13,68
941,67,1,35.5,59.7,2.8,1.1,50.5,90.8,77.2,25,60
522,49,0.4,42,57.1,0.4,0.2,44.4,90.8,87.2,12,46
472,79,0.6,46.6,52.3,0,0.4,52.3,90.4,89,16,40
916,164,0.6,26.4,71.9,0.9,0.2,49.1,89.8,88,30,72
644,71,0.8,32.3,64.3,2.5,0.2,44.1,86.9,65.8,18,55
973,29,0,30.2,65.5,3.7,0.6,47.3,93,71.4,15,67
650,26,0.3,20.3,60.3,4,15.1,46.9,88.8,63.7,13,59
324,31,0.6,28.1,67.9,0.9,2.5,53.1,86.8,68.7,3,23
432,17,0.5,34.7,60.2,1.6,3,67.6,81.8,61.9,1,28
414,53,0.2,35,57.5,5.8,1.4,32.6,81.9,62.5,6,30
359,47,0,37.6,60.2,1.4,0.8,48.5,86.8,87.4,6,34
841,122,0.2,22.4,76.1,0.6,0.7,50.5,88.6,95.5,18,74
536,7,0.8,13.2,39.4,3.2,43.5,45.7,93.3,66,1,37
387,54,0,25.8,72.4,1.3,0.5,32,82.5,70.8,7,32
418,29,0.2,37.3,57.7,2.6,2.2,42.3,94.3,66.7,2,24
211,27,1,39.3,57.4,1.4,1,47.4,81.4,86,5,12
187,187,0,24.1,66.8,4.8,4.3,43.3,93.2,87.5,2,10
230,40,0.9,21.3,77,0.4,0.4,48.3,91.2,94.3,26,18
280,20,0.7,40.4,56.1,1.8,1.1,52.5,91.4,79.2,4,26
102,5,1,22.6,57.8,3.9,14.7,58.8,91.9,60,1,11
107,10,0,37.4,61.7,0.9,0,50.5,92.3,60,1,7
130,2,0,17.7,53.1,6.9,22.3,52.3,93.8,60,1,9
125,5,0.8,44.8,52.8,1.6,0,48,90.3,60,1,5
4303,384,0.4,22.6,60.6,6,10.4,41.7,82.5,59.6,25,222
757,143,0.1,30.9,65.4,2,1.6,49.7,72.7,61.3,0,78
308,28,0.3,38.3,56.8,2.6,2,52.6,75.1,69.2,3,25
411,43,0.7,30.2,67.4,1,0.7,59.1,83.6,70.5,9,23
407,0,0.2,30.5,67.3,1.5,0.5,56.3,80.9,77,4,28
392,46,0,37.2,59.4,1.8,1.5,50,78.9,77.4,2,33
1712,138,0.5,33.2,64.3,1.5,0.5,67.9,77.1,79.8,12,111
157,13,0.6,37.6,60.5,1.3,0,52.9,84.6,84.1,3,19
294,40,0.3,50.7,48,0,1,39.8,87.2,84.8,5,39
522,84,0.8,42.7,55.4,1.2,0,45.8,89.6,92.1,19,67
