Total,esl,nativeAmerican,black,latino,asian,white,female,attendance,povertyRate,temporaryHousing,teachers
709,131,0.7,35.3,62.6,0.4,1,49.2,90.4,89.1,14,55
670,45,0.8,18.1,78.5,2.1,0.6,46.7,93,81.6,10,50
779,177,0.3,21.3,78,0.3,0.1,47.4,92.1,87.9,22,70
685,97,0,35.3,62.6,1.5,0.6,48,93.8,77.5,40,46
528,87,0.6,43.2,55.1,0.8,0.4,44.9,92.2,86,46,50
1332,207,0.2,38.1,61.1,0.3,0.4,49.6,89.9,83.2,70,100
703,76,0.1,44.1,55.2,0.3,0.3,45.5,93.4,93.2,20,61
407,77,1,32.9,62.9,1.7,1.5,48.4,89.7,99,3,40
490,139,0,38.8,60.2,0.4,0.6,47.8,91.2,91.3,13,47
909,206,0.1,17.2,82.1,0.4,0.2,48.1,91,92.4,11,88
1404,221,0.4,25.1,70.4,3.8,0.2,46.7,90.3,85.8,51,108
819,87,0.2,29.6,68.6,0.6,1,48,91.2,83.9,25,63
1197,204,0.4,37.3,56.1,5.9,0.2,52.6,92.4,93.9,20,109
716,159,0.1,23.3,75.4,0.1,1,46.6,91.8,83.5,5,53
440,30,0.4,49.6,48.9,0.2,0.9,50.2,91.8,90.4,7,47
794,135,0.9,21.4,74.3,2.9,0.5,48.4,92.4,91,17,68
921,242,0.5,23.7,74,1.2,0.5,50.4,87.6,77.3,11,83
816,133,0.5,29.9,69.2,0.1,0.2,48.2,90.5,91.9,26,68
280,0,0,41.8,57.5,0.7,0,51.8,93.4,78.4,0,19
590,112,1,43.2,54.6,0.2,1,44.8,89.8,89,19,61
475,44,0.4,39.2,56.8,2.7,0.8,51.6,91.4,87.3,10,39
678,152,0.2,30.1,67.1,2.4,0.3,50.7,91.8,93.3,9,62
936,97,0.2,29.3,68.3,1.9,0.3,43.8,88.3,73.4,14,83
767,175,0.4,35.1,63.2,0.3,1,46.9,90,96.4,22,60
371,36,0,38.5,61.5,0,0,46.9,91.5,89.9,5,31
293,19,0.3,45.7,47.1,6.1,0.7,56.3,95,77,0,22
927,61,0.1,13.9,82,3.1,0.9,53.5,94.7,85.3,1,65
458,56,0.2,45.8,53.3,0.2,0.4,45,87.6,91.5,12,44
405,67,1,32.6,63.7,1.2,1.5,49.6,83.4,88.5,7,30
384,47,0,54.7,43,1,1.3,44.3,87.9,87.1,9,52
506,53,0.2,55.7,40.9,2.2,1,53,87.4,79.3,4,48
401,0,0.2,65.8,32.2,0.5,1.2,0,87,62,1,23
511,58,1,34.2,63,1,0.8,45.4,88.3,83.8,25,42
323,31,0.3,53.6,44.6,0,1.6,0.3,76.7,67.4,2,23
306,35,0.3,31.4,67,1,0.3,51.3,79.2,63.4,1,21
341,28,0.3,34.9,62.2,1.8,0.9,54.8,86.6,71.7,1,21
338,14,0.9,28.7,64.2,5.6,0.6,52.1,90.2,81.2,1,21
336,44,0.6,33.3,65.5,0.3,0.3,67.9,79.2,78.3,0,20
351,45,1.7,29.3,68.7,0,0.3,55.6,91.5,91.4,6,26
428,44,1.4,33.4,64,0.9,0.2,47,85.2,86.6,3,33
501,74,0.4,39.9,58.7,0.8,0.2,50.9,86,84.1,14,45
484,98,0.2,26.6,70.2,2.5,0.4,47.9,90.6,75.4,5,39
217,25,0,30.9,68.2,0.9,0,58.1,93.3,82.8,1,15
259,44,0.8,38.6,58.7,1.2,0.8,49.4,87.9,67.4,7,24
215,40,0.5,34.4,62.3,1.4,1.4,60.5,83.2,72.7,4,13
894,129,0.4,29.9,68.2,1.1,0.3,49.4,86.8,79.6,18,77
110,0,0,0,100,0,0,42.7,94,60,0,8
649,29,0.3,43.4,54.1,1.2,0.9,60.4,84.5,70.1,4,38
471,41,2.3,34.4,60.5,1.7,1.1,48.8,89.8,69.1,3,58
575,76,0.2,11.6,79.6,4,4.5,47.1,93.3,79.3,23,54
1157,225,0.2,13.8,70.7,7.4,8,50.3,91.1,77.6,4,85
699,108,0.1,24.6,73.5,0.7,1,45.1,90.7,88.3,7,62
576,54,0.4,15.1,81.8,2.3,0.5,55.6,93.9,85.5,3,47
1194,317,0.8,12.4,69.8,10.1,6.8,51.1,92,78.7,12,105
723,40,0.1,13.4,32.5,10.1,43.8,46.3,94.6,17.5,1,57
812,64,0,27.1,69.8,0.4,2.7,47.2,90.6,91.2,41,75
1055,194,0.3,15.6,82.2,1.5,0.5,51.7,91.4,98.5,8,73
563,66,0.5,21.3,70.7,3.7,3.7,48.8,91.7,68.9,9,45
1065,96,0.8,14.6,77.6,2.2,5,49.4,91,81.7,18,84
1220,110,0.4,17.2,78.4,2.7,1.2,48.8,92.1,87.5,16,89
277,11,0.4,33.6,53.1,3.2,9.8,49.5,93.7,50.2,2,24
488,75,0.6,23.4,71.9,2.7,1.4,49.2,90.3,86.8,15,41
561,114,0.2,15.9,55.6,18.9,9.4,44.2,92.7,81.3,2,37
532,59,0.4,27.4,70.7,0.9,0.6,49.2,92.2,92.6,10,60
1046,209,0.4,28,69.8,0.4,1.4,49,91.5,86.4,9,69
669,99,1.2,16,69.2,9.4,4.2,42,87.2,76.8,7,57
705,93,0.6,12.5,40.4,10.8,35.7,47.2,93.3,33.9,2,45
1163,132,0.3,31.5,65.6,1.8,0.9,49.1,91.1,93,22,108
1708,239,0.2,14.2,81.1,2.8,1.7,47,90.6,82.5,37,118
764,189,0.6,20.8,72,5.6,0.9,46.2,90.3,87.5,16,66
1046,169,0.9,22.6,62,12.7,1.9,49.7,91.2,77.3,13,80
1235,179,0.3,24.7,62.8,6.4,5.8,45.5,91.6,69.3,16,101
1160,59,0.3,26.6,62.8,8,2.2,54,89.8,80.2,14,85
232,0,0.9,8.6,90.1,0,0.4,50,94.2,89.6,4,21
958,174,0.3,14.7,76.5,0.8,7.6,48.5,92.9,90.7,10,76
414,44,0,17.4,78.7,3.4,0.5,45.9,90.6,90.7,1,39
354,40,0.8,39.3,54.5,4,1.4,20.9,86.5,80.1,0,23
441,72,0.2,29,70.3,0.2,0.2,49,93,84.1,42,35
144,17,0,18.8,72.2,2.1,6.9,42.4,94.7,60.3,0,12
720,141,0.1,17.9,76,4.6,1.4,37.1,88.7,79.5,19,56
814,154,0.4,10.9,81.4,5.2,2.1,46.1,91.1,92.6,10,67
459,106,0.6,20.5,73.6,4.1,1.1,46.2,89.2,89.7,10,40
326,305,0.3,9.8,82.2,5.2,2.4,48.8,83.7,79.8,3,17
291,30,0,33.3,64.3,0.7,1.7,50.9,75.2,64.4,7,21
1026,173,0.5,18.7,73.9,6.4,0.5,45.8,91.5,80.3,9,87
786,125,0,15.8,65,7.5,11.7,51,92.6,71.4,29,56
416,27,0.5,38.5,57,2.2,1.9,57.7,83.7,79.6,4,29
573,100,0,17.1,79.2,3.1,0.5,49.9,91.9,77.7,14,45
708,109,0.3,33.2,65.8,0.7,0,45.6,91.7,94.4,10,65
306,80,0,7.2,84.3,7.2,1.3,53.3,95.4,82.1,2,23
293,32,0.3,25.9,68.9,3.4,1.4,89.4,91.8,73.2,1,20
711,206,0,13.8,81.2,1.7,3.4,44.4,93,79.1,5,57
242,57,0.8,20.2,76,1.6,1.2,50.8,92.8,80.8,1,24
154,20,0.6,28.6,66.9,3.2,0.6,50.6,94.1,92.8,0,11
500,78,0.2,32,66.2,1.2,0.4,43.6,92.7,93,13,39
528,65,0.4,13.8,77.8,4.9,3,52.3,93.7,78.8,2,40
493,91,0.6,18.9,77.1,1.2,2.2,48.9,92.4,84.1,7,40
122,6,1.6,36.9,59,1.6,0.8,59,94.2,60,0,7
522,66,0.2,19.9,78.4,1.3,0.2,52.3,89.7,93.1,12,45
755,127,0.7,27,69.8,1.7,0.8,48.2,87.4,81.5,18,61
260,51,0,22.3,76.2,1.2,0.4,53.1,92.1,89.8,7,39
746,137,0.9,21.6,76.3,0.9,0.3,41.6,87.7,89.3,31,69
517,77,0.8,36.4,60,2.1,0.8,48.2,83.6,72.3,20,43
484,140,1,30,66.1,2.1,0.8,46.3,89.8,75.9,8,44
519,64,0.6,32,64.4,1.5,1.5,63.4,77.5,66.8,6,35
385,66,0.3,34.8,61.8,1.3,1.8,50.9,83.5,78.9,2,38
420,14,0.2,42.1,52.6,2.1,2.9,58.3,84,72.2,14,36
538,66,0.4,35.7,60,2.4,1.5,40.5,73.5,75,5,44
425,49,0.5,39.5,57.4,1.4,1.2,61.9,80.5,82.6,2,37
4392,72,0.5,25.2,66.3,5.5,2.5,52.8,79.6,70.2,37,280
348,21,0,32.5,64.7,0.6,2.3,60.6,88.9,73.9,1,24
2670,0,0.3,4.4,7.7,59.9,27.7,44.6,96.5,27.2,1,125
2060,325,0.5,28.8,66.5,1.9,2.3,38.5,81.8,77.3,8,160
418,165,0.2,17.5,60.8,15.1,6.5,53.1,92.5,80.6,1,33
425,25,0,25.4,72.9,0.7,0.9,57.4,88.5,76.5,1,25
414,34,0.2,35.5,61.1,0.5,2.7,69.1,81.9,76.9,3,28
442,61,0.4,25.3,72,1.4,0.9,48.9,82.4,74.4,1,28
1445,110,0.4,31.4,65.3,1.1,1.9,63,79.2,71,6,99
332,0,0.6,19.6,23.5,16,40.4,48.8,95.8,21.3,0,24
589,24,2.4,60.6,24.8,10,2.2,46.5,92.7,79.9,4,49
495,29,0.2,10.7,20.8,4,64.2,46.3,93.3,34.5,2,34
817,37,0.9,74.2,23.1,1,0.9,47.4,90.2,78,24,58
874,101,0.7,59.4,37.9,0.8,1.3,48.2,90.9,85.1,23,67
803,12,0.9,83.4,13,1.4,1.4,48.7,93.6,87.2,7,67
1026,127,0.3,52.8,41.5,2.7,2.6,46.8,92.1,83.3,16,80
1626,162,0.6,13.8,49,11.8,24.8,49.4,91.6,63.3,2,118
505,9,2.2,75.4,18.6,3.4,0.4,45.7,92.8,68.7,12,38
1316,276,0.6,28,45.4,10.3,15.7,47.8,90.1,73.8,18,109
1000,117,0.2,22,60.5,4.6,12.7,50.1,92,70.5,24,82
741,45,0.7,44.3,32.7,8.9,13.5,46.6,93.1,62.7,12,55
1082,98,1.1,57.3,36.9,2.6,2.1,48.3,91.7,76.7,18,88
1468,346,0.5,12.6,64,9.7,13.2,47.8,93,69.3,24,116
1238,189,1,35.1,41.2,21.6,1.1,51,92.2,77.9,11,85
575,51,0.4,8.7,38.3,15.1,37.6,47.3,94.2,51.9,1,44
605,64,0.3,66.3,31.4,1.3,0.7,51.7,89.8,73.9,14,62
614,60,0,56.2,42.8,0.5,0.5,51.3,89.7,85,20,55
810,52,1.4,64.8,26.8,5.2,1.8,48.4,92.4,63.6,10,61
645,42,0.5,40,44,13.6,1.9,45.3,91.5,78.6,4,53
1067,31,1.7,69.2,27.2,1.7,0.3,46.3,91.3,73,20,77
1074,46,1.2,70,23,3,2.8,49.1,88.4,68.7,16,88
599,17,0.5,63.4,26,5.8,4.2,48.9,94.1,49.7,3,57
508,16,0.2,64.8,30.7,1.8,2.6,49,93.6,48,16,55
402,9,0.5,8.2,26.9,2.7,61.7,47.8,94.7,38.8,0,28
493,22,0.2,67.3,30.2,0.6,1.6,47.9,94.2,54.6,10,46
770,18,0.6,63.1,30.4,4,1.8,51,91.7,43.3,4,78
617,17,0.5,59.8,31.4,4.7,3.6,46.8,93.9,47,0,50
322,33,1.2,52.5,44.1,0.9,1.2,46.6,89.9,60,3,22
1264,169,0.2,13,59.2,23.7,4,48.2,92.3,90.8,8,89
350,29,0.6,45.7,49.4,3.1,1.1,70.9,87.3,77.6,2,23
444,24,0.9,52,43.9,1.8,1.4,62.2,91.2,76.6,3,27
420,40,0.2,42.1,55.5,1,1.2,50.2,84.9,75.5,3,32
573,48,0.5,64.8,29.5,4,1.2,40.3,91,80,3,35
444,29,0.9,39.6,53.8,3.4,2.2,20,89.1,67.8,3,27
345,11,1.2,71,24.1,1.7,2,64.4,90.3,66.2,6,17
464,18,0.2,41,44.8,6.2,7.8,47.2,86.1,80,2,26
561,0,1.1,70.6,22.3,4.6,1.4,49.9,91.1,66,7,31
443,27,0.4,51,44,3.4,1.1,74.7,83.2,69.5,4,28
420,33,0.5,44.3,43.3,2.9,9,44.3,84.2,83.2,1,25
334,8,0,32.6,48.2,10.2,9,47,91.3,76.4,4,25
341,43,0.9,27,58.4,7,6.7,48.1,92.4,73,10,22
135,9,0,68.9,26.7,3,1.5,51.1,89.4,60,6,11
141,16,0,16.3,70.2,3.6,9.9,51.1,93,60,3,12
1554,252,0.2,35.2,48.5,5.1,11.1,40.7,81.2,62.3,28,110
333,16,0,39.6,52.6,1.8,6,39.9,89,62.5,4,24
2791,212,0.8,55.5,40.7,2,1.1,44.8,86,38.3,12,142
274,242,0.4,8.8,71.2,10.2,9.5,48.5,94.4,97.2,0,19
324,34,0.6,33,60.8,2.2,3.4,26.2,87.7,65.3,1,23
416,65,0.5,37.7,57.4,1.4,2.9,39.7,77.8,88.3,3,26
460,10,0.9,43.7,46.3,4.4,4.8,56.5,90,61.7,1,23
432,41,0.7,47.9,49.8,0.9,0.7,53.2,90.5,82.7,2,24
377,33,0,35.3,62.1,1.9,0.8,19.4,91.4,74.7,2,26
764,140,0.3,25,73.3,0.9,0.5,47.8,88.2,84.6,35,68
372,49,0,37.9,61.6,0.3,0.3,48.7,88.9,86.4,12,38
1122,153,2,28.8,60.7,7,1.5,49.1,91.9,90.8,26,83
630,104,0,34.1,64.9,0.6,0.3,43.5,89.6,94.8,33,55
510,109,0.4,31.2,67.2,0.2,1,48.6,90.9,92.8,11,44
373,29,0.3,29.5,69.2,0.5,0.5,48,92.5,83,9,31
583,78,0,23.7,75.8,0.2,0.3,49.4,91.5,84.2,12,52
704,98,0.1,22.9,76.4,0.4,0.1,50.7,90.3,89.4,36,60
560,56,0,25.9,72.1,0.9,1.1,47,89.9,88.4,15,47
447,54,0.9,28.9,65.8,3.6,0.9,44.5,87.9,75.7,17,37
1130,92,0.6,28.9,65.4,3.6,1.4,48.1,89.6,79.8,8,98
476,36,0.4,33.4,64.9,0.6,0.6,47.3,88,72.7,9,34
659,71,0.2,46.1,53.4,0.2,0.2,48.2,89.8,94.3,11,50
726,84,0.3,20,78.1,1.1,0.6,48.8,91.2,91.1,17,64
238,25,0.4,31.9,66.8,0.8,0,52.5,88.1,73,2,22
483,99,0.2,23.4,73.7,2.3,0.4,47.6,90.9,84,18,40
486,76,1.2,26.5,69.1,1.6,1.4,46.5,92.8,87.2,9,39
446,38,0.7,37.2,61.7,0,0.4,48.6,91.4,91.4,16,60
671,74,0,11.8,87.5,0.4,0.3,50.4,90.6,90.2,7,62
542,93,0.7,36.7,57.8,1.7,3.1,50.4,90,86.5,7,49
848,89,1.4,30.9,66.4,0.7,0.6,49.9,91.4,82.5,16,72
372,47,1.3,24.2,72.3,2.2,0,45.4,85.9,79.5,3,31
349,34,1.2,24.6,70.8,2.9,0.6,49.6,88.3,76.4,18,29
246,20,0.4,32.1,63.8,2.4,1.2,46.8,92.4,98.7,1,17
312,52,0.3,34,64.7,0.6,0.3,52.6,82.5,71.8,3,21
391,20,0.3,49.1,48.1,1.8,0.8,75.7,79.3,67.4,5,24
211,21,0.5,26.5,70.6,1,1.4,57.8,90,85.6,1,18
263,20,0.8,38.8,58.6,0.8,1.1,52.8,91.4,78.8,1,22
264,31,0,23.9,74.6,0.8,0.8,52.6,89.9,88.8,0,23
429,59,0.2,34.3,64.3,0.5,0.7,51.5,82.1,79.1,5,33
644,60,0.3,42.1,56.2,0.6,0.8,49.8,89.8,91.8,19,50
249,20,0.8,43,50.6,4.4,1.2,56.6,93.4,60.2,2,15
373,21,0.5,35.7,61.4,1.3,1.1,46.1,85.1,88.7,15,33
194,25,0.5,33,65,1.6,0,42.8,89,68.2,0,14
345,282,0,19.7,74.8,2.3,3.2,50.4,87.9,82.3,3,25
442,16,0.4,42.1,56.6,0.4,0.4,51.6,76.3,81.4,2,27
437,42,0.7,41.6,54.7,1.6,1.4,51.7,83.4,58.3,1,33
206,17,0,35.4,63.6,0,1,89.3,80.9,88.4,1,15
299,268,0,6.7,90.6,2.7,0,51.8,88,84.4,6,21
488,44,0,33,62.9,3.1,1,27.9,77.6,85.9,8,31
490,51,0.4,31.2,66.9,0.8,0.6,53.7,82.6,81.1,5,37
531,34,1.1,44.3,52.5,1.5,0.6,49.9,84.4,74,1,37
612,60,0.6,30.2,67.6,0.6,0.8,47.7,78.8,85.1,3,31
134,18,0.8,20.2,73.1,5.2,0.8,54.5,92.1,79.2,5,11
520,50,0.2,22.5,75.6,0.8,1,46.9,75.9,85.8,10,33
590,37,0.3,87.6,5.6,5.9,0.5,51.7,92.3,62.6,11,48
491,17,0.6,37.7,10.8,6.5,44.4,48.7,94.1,31.5,4,38
533,20,0.8,74.3,13.7,5.8,5.4,49,91.5,72.1,2,49
500,4,0.4,84.6,6.6,1.8,6.6,53.8,92.2,61.7,5,40
437,10,0.9,76.7,15.3,2.5,4.6,50.8,92.2,68.4,6,33
537,10,0.6,87.3,8.2,3,0.9,48.4,89.8,81.8,13,43
394,16,1,46.7,49,1,2.3,46.7,91.2,81.7,11,37
342,24,0.6,66.1,29.5,1.5,2.3,47.7,89.7,83.3,26,40
348,12,1.2,86.2,7.2,2.3,3.2,45.4,90.7,81.4,5,35
245,11,1.6,73.5,22,1.2,1.6,50.2,90.1,94.6,13,24
428,34,0.7,83.2,6.8,8.4,0.9,52.8,89.2,97.2,18,38
269,4,0.4,86.6,10,2.2,0.7,50.9,92.4,77.5,3,23
913,21,0.6,81.8,14.7,1.6,1.3,56.5,91.7,68.9,4,68
263,19,1.1,70.7,25.9,1.1,1.1,42.2,81.7,82.6,7,31
264,29,0.4,39.8,54.6,1.1,4.2,44.7,91,75.3,3,34
421,22,1,74.8,21.4,1.2,1.7,48.9,88.7,77.5,20,35
273,30,2.2,78,11.7,5.9,2.2,52.8,86.5,58.6,0,34
225,6,0.9,64,31.6,1.3,2.2,51.6,93,65.6,2,14
268,18,0.4,73.9,24.2,0.4,1.1,47.4,93,82.8,13,24
728,33,0,71.3,22.5,1.2,5,54.4,94.3,43.4,2,47
173,7,0.6,68.2,24.3,4,2.9,45.7,90,89,4,17
234,4,1.3,88.5,8.1,1.7,0.4,56.8,86.8,76.3,3,17
411,11,0.5,84.4,12.2,1.5,1.5,47.9,89.2,81.3,28,35
275,7,0,70.6,28.4,0,1.1,53.4,91.2,79.4,0,35
274,3,0.7,77.7,20.8,0.4,0.4,51.1,88.6,79.3,3,23
154,3,0.6,90.3,7.8,0.6,0.6,0,93,65.6,1,14
308,7,1,72.4,23.4,2,1.3,54.2,83.3,64.4,2,18
219,3,0,82.6,15.5,0.5,1.4,49.3,85.7,61.1,1,14
954,36,0.4,81.7,10.9,5.7,1.4,42.2,87,44.8,2,52
4469,9,0.1,12.6,7.9,59.2,20.1,41.4,95.4,29.7,2,223
391,305,0,17.4,36.6,32.7,13.3,46.3,94.8,80,2,27
409,3,0,77,21,1,1,71.2,91.6,57,3,29
373,2,0.8,73.5,22.2,1.1,2.4,56.8,84.6,60.2,1,28
170,0,1.2,75.3,12.9,1.2,9.4,54.7,95.6,45.9,4,9
749,25,1.2,81,15.2,1.2,1.3,51.9,80.9,84.9,5,46
315,5,0.6,77.5,15.2,4.1,2.5,50.2,79.7,73.4,1,20
146,3,1.4,89,5.5,2.7,1.4,100,93.9,72,2,9
273,18,2.2,76.9,15.4,3.7,1.8,43.6,87.7,77.2,1,26
325,0,1.8,88.3,9.5,0.3,0,56.3,91.8,51.8,0,19
75,3,0,85.3,13.3,1.3,0,58.7,89.6,60,3,8
896,12,1.6,76.3,18.9,1.8,1.4,37.6,81.6,56.4,6,71
924,1,0.4,82.2,12.8,2.9,1.6,59.7,88.7,48,0,48
378,41,0,25.1,74.3,0.3,0.3,46.6,91.1,77.6,5,32
373,79,0.5,3,86.6,2.4,7.5,45.6,93.6,79.4,1,35
244,53,0.4,18,79.9,0,1.6,52.9,92.5,82.3,4,23
500,109,0,1.2,97.2,0.4,1.2,47.2,94.4,89.8,4,42
342,37,0.3,53.5,44.4,1.2,0.6,45.9,92.1,88.5,13,27
547,39,0.2,4,50.3,12.1,33.5,50.8,95.3,65.9,1,42
456,94,0,2.4,23.2,4.8,69.5,49.6,95.4,63.8,0,35
263,19,1.1,33.8,64.3,0,0.8,47.2,82.3,90.3,1,27
699,69,0.1,13.6,83.4,1.6,1.3,47.1,87.9,85.6,3,53
496,40,1,52.8,45.2,0.2,0.8,53.6,90.1,88.3,4,39
487,130,0.4,8.2,81.7,3.7,6,49.5,92.6,77.6,8,45
398,79,0,9,36.2,2,52.8,46,93.6,62.9,0,37
483,126,0,14.7,82.4,0.8,2.1,52.4,94.5,88.6,4,41
610,81,0,18.4,68.7,2.3,10.7,47.4,89.6,66.4,5,53
661,45,0.3,10.7,55.7,4.7,28.6,46.9,95.1,71.7,0,48
302,41,0,43,56.3,0.3,0.3,56.3,92.4,81,6,30
333,44,0,17.7,81.1,0.3,0.9,42.3,93.5,82.5,9,31
424,51,0.5,14.2,82.8,0,2.6,47.6,92.6,78.4,24,43
867,116,0.6,10.7,73.6,13.6,1.5,51.6,96.4,66.1,2,61
567,38,0,26.5,70.4,1.1,2.1,50.6,93.2,84.1,16,51
403,54,0.2,54.6,41.4,0.5,3.2,48.6,89.8,83.2,3,34
1455,65,0.1,13.9,64.3,5.8,15.9,52.3,95,70.8,15,99
213,7,0.9,68.5,29.1,0.5,0.9,57.3,87.2,72.8,11,16
479,82,0,24.4,65.8,0.4,9.4,46.4,94.7,78.1,1,47
207,10,1,50.7,44.4,0.5,3.4,66.7,86,81,1,14
98,1,2,36.7,30.6,18.4,12.2,53.1,95.6,38.1,0,12
205,20,0.5,41,57.1,0,1.5,47.8,77.6,70.4,1,11
1041,4,0.8,33.7,63.6,0.5,1.4,56.4,79.3,63.8,5,58
830,41,0.7,58.4,39.3,0.4,1.2,53,78,66.4,4,50
818,17,0.7,38.1,58.2,1.3,1.6,35.7,86.9,60.5,7,54
400,13,0,57.5,35.5,3,4,23.8,85.2,61.1,2,27
449,13,0.4,31.8,57.7,0.9,9.1,59.2,89.7,85.4,0,30
380,12,0.5,11.6,61.6,3.7,22.6,50.3,94.3,66.9,0,25
306,36,0.6,21.9,76.1,1,0.3,46.1,90.4,78.2,4,29
67,6,0,9,91,0,0,50.8,89.6,60,1,8
1118,68,0.6,60.8,34.9,1.6,2.1,5.2,75.5,69.6,7,80
181,24,0,15.5,82.9,0.6,1.1,52.5,82.9,67.3,2,15
1115,251,0.3,1.8,89.8,5.5,2.7,50.8,94.1,85.9,9,87
575,56,0,16.5,54.6,5.7,23.1,48.4,92.9,68.6,2,54
386,37,1,44.6,48.7,0.5,5.2,47.9,92.3,86.3,19,43
787,96,0.1,2.9,91,2.9,3,49.4,93.7,86.1,6,68
677,22,0.2,11.1,24.4,6.9,57.5,51.1,95.5,29.3,0,48
291,24,0.3,36.8,44,3.1,15.8,43.3,91.7,75.9,6,59
470,39,4,41.3,37.4,3.2,14,47.7,92.8,71.7,2,37
353,22,0.3,24.9,34,3.7,37.1,49.3,94.6,44.8,1,26
985,10,0.2,17.4,31.3,15.5,35.6,60.6,96.2,32.5,0,56
547,28,0,12.1,24.3,8.6,55,47.4,93.5,37.6,2,42
885,105,0.9,13.3,61.2,14.9,9.6,45.8,93.5,70,6,83
1070,272,0,1.1,57.5,37.1,4.3,49.5,94.2,86,9,72
470,8,0.2,8.9,29.6,7,54.3,49.8,95,23.6,0,31
310,45,0.3,12.9,68.1,4.5,14.2,50.6,95.3,85.9,6,28
529,62,0,17.4,30.2,29.7,22.7,48,93.8,94.2,2,36
841,302,0.1,1,64,28.4,6.5,50.9,94.4,84.9,3,66
